CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_LNAME,TWITTER,T_NAME,Search Date,company related,personal related,Note,
52103,2017,00163U10,AMAG PHARMACEUTICALS INC,William,Heiden,https://twitter.com/wkheiden,wkheiden,15,5,2018/11/23,??????,
14745,2017,2313510,AMAZON.COM INC,Jeffrey,Bezos,https://twitter.com/jeffbezos,jeffbezos,11,9,2018/11/23,,
59229,2017,2313988,AMBAC FINANCIAL GROUP INC,Claude,LeBlanc,X,X,,,,,
46079,2017,00164V10,AMC NETWORKS INC,Joshua,Sapan,X,X,,,,,
51134,2017,2343610,AMEDISYS INC,Paul,Kusserow,X,X,,,,,
25008,2017,2360810,AMEREN CORP,Warner,Baxter,X,X,,,,,
49256,2017,02376R10,AMERICAN AIRLINES GROUP INC,William,Parker,X,X,,,,,
48086,2017,2401310,AMERICAN ASSETS TRUST INC,Ernest,Rady,X,X,,,,,
53460,2017,2406110,AMERICAN AXLE & MFG HOLDINGS,David,Dauch,X,X,,,,,
44575,2017,2483510,AMERICAN CAMPUS COMMUNITIES,William,Bayless,X,X,,,,,
43255,2017,2553710,AMERICAN ELECTRIC POWER CO,Nicholas,Akins,X,X,,,,,
49728,2017,2567620,AMERICAN EQTY INVT LIFE HLDG,John,Matovina,X,X,,,,,
111,2017,2581610,AMERICAN EXPRESS CO,Kenneth,Chenault,X,X,,,,,
9693,2017,2593210,AMERICAN FINANCIAL GROUP INC,Stephen,Lindner,X,X,,,,,
59845,2017,2687478,AMERICAN INTERNATIONAL GROUP,Brian,Duperreault,X,X,,,,,
40040,2017,02913V10,AMERICAN PUBLIC EDUCATION,Wallace,Boston,https://twitter.com/wallyboston,wallyboston,14,6,2018/11/23,,
30871,2017,2989910,AMERICAN STATES WATER CO,Robert,Sprowls,X,X,,,,,
34348,2017,03027X10,AMERICAN TOWER CORP,James,Taiclet,X,X,,,,,
38031,2017,3037110,AMERICAN VANGUARD CORP,Eric,Wintemute,X,X,,,,,
52347,2017,3042010,AMERICAN WATER WORKS CO INC,Susan,Story,X,X,,,,,
35939,2017,03076C10,AMERIPRISE FINANCIAL INC,James,Cracchiolo,X,X,,,,,
51818,2017,03076K10,AMERIS BANCORP,Edwin,Hortman,X,X,,,,,
39964,2017,03071H10,AMERISAFE INC,Gerry,Frost,X,X,,,,,
24915,2017,3.07E+13,AMERISOURCEBERGEN CORP,Steven,Collis,https://twitter.com/stevecollis_abc,stevecollis_abc,19,1,2018/11/23,,
17998,2017,2.55E+13,AMERN EAGLE OUTFITTERS INC,Jay,Schottenstein,X,X,,,,,
27232,2017,3110010,AMETEK INC,David,Zapico,X,X,,,,,
34806,2017,3116210,AMGEN INC,Robert,Bradway,X,X,,,,,
31795,2017,174410,AMN HEALTHCARE SERVICES INC,Susan,Salka,https://twitter.com/susansalka,susansalka,19,1,2018/11/23,,
53649,2017,03209R10,AMPHASTAR PHARMACEUTICLS INC,Yongfeng,Zhang,X,X,,,,,
35947,2017,3209510,AMPHENOL CORP,Richard,Norwitt,X,X,,,,,
30473,2017,3251110,ANADARKO PETROLEUM CORP,R.,Walker,X,X,,,,,
33925,2017,3265410,ANALOG DEVICES,Vincent,Roche,X,X,,,,,
55835,2017,3265720,ANALOGIC CORP,Fred,Parks,X,X,,,,,
43396,2017,03349M10,ANDEAVOR,Gregory,Goff,X,X,,,,,
51953,2017,3416410,ANDERSONS INC,Patrick,Bowe,X,X,,,,,
50205,2017,00182C10,ANI PHARMACEUTICALS INC,Arthur,Przybyl,X,X,,,,,
