CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_LNAME,TWITTER,T_NAME,Search Date,company related,personal related,Note,
57636,2017,16373110,CHEMICAL FINANCIAL CORP,David,Provost,X,X,,,,,
51387,2017,16385110,CHEMOURS CO,Mark,Vergnano,X,X,,,,,
49342,2017,16516710,CHESAPEAKE ENERGY CORP,Robert,Lawler,X,X,,,,,
49511,2017,16524010,CHESAPEAKE LODGING TRUST,James,Francis,X,X,,,,,
23862,2017,16676410,CHEVRON CORP,John,Watson,X,X,,,,,
53446,2017,16861510,CHICOS FAS INC,Shelley,Broader,https://twitter.com/broaderview,broaderview,,,????,,
42622,2017,16890510,CHILDRENS PLACE INC,Jane,Elfers,X,X,,,,,
36060,2017,16965610,CHIPOTLE MEXICAN GRILL INC,M.,Ells,X,X,,,,,
45955,2017,17104610,CHRISTOPHER & BANKS CORP,Joel,Waller,X,X,,,,,
25381,2017,H1467J10,CHUBB LTD,Evan,Greenberg,X,X,,,,,
32925,2017,17134010,CHURCH & DWIGHT INC,Matthew,Farrell,X,X,,,,,
53499,2017,17148410,CHURCHILL DOWNS INC,William,Carstanjen,X,X,,,,,
53398,2017,17160410,CHUY'S HOLDINGS INC,Steven,Hislop,X,X,,,,,
18307,2017,17177930,CIENA CORP,Gary,Smith,X,X,,,,,
30516,2017,12550910,CIGNA CORP,David,Cordani,X,X,,,,,
28862,2017,17179810,CIMAREX ENERGY CO,Thomas,Jorden,X,X,,,,,
48699,2017,17187150,CINCINNATI BELL INC,Leigh,Fox,X,X,,,,,
37114,2017,17206210,CINCINNATI FINANCIAL CORP,Steven,Johnston,X,X,,,,,
53072,2017,17243V10,CINEMARK HOLDINGS INC,Mark,Zoradi,X,X,,,,,
48612,2017,17273K10,CIRCOR INTL INC,Scott,Buckhout,X,X,,,,,
35424,2017,17275510,CIRRUS LOGIC INC,Jason,Rhode,X,X,,,,,
47917,2017,17275R10,CISCO SYSTEMS INC,Charles,Robbins,https://twitter.com/ChuckRobbins,ChuckRobbins,17,3,2018/12/1,,
53022,2017,12558180,CIT GROUP INC,Ellen,Alemany,X,X,,,,,
43293,2017,17296742,CITIGROUP INC,Michael,Corbat,X,X,,,,,
52186,2017,17461010,CITIZENS FINANCIAL GROUP INC,Bruce,Van Saun,X,X,,,,,
55348,2017,17737610,CITRIX SYSTEMS INC,Kirill,Tatarinov,https://twitter.com/KirillTatarinov,KirillTatarinov,10,10,2018/12/1,???,
38521,2017,17783510,CITY HOLDING CO,Charles,Hageboeck,X,X,,,,,
49477,2017,17878Y10,CIVEO CORP,Bradley,Dodson,X,X,,,,,
55179,2017,17958410,CLAIRES STORES INC,Ronald,Marshall,X,X,,,,,
39358,2017,18449610,CLEAN HARBORS INC,Alan,McKim,X,X,,,,,
37542,2017,18538R10,CLEARWATER PAPER CORP,Linda,Massman,X,X,,,,,
50472,2017,18589910,CLEVELAND-CLIFFS INC,C.,Goncalves,X,X,,,,,
49535,2017,18905410,CLOROX CO/DE,Benno,Dorer,X,X,,,,,
45004,2017,18911Q10,CLOUD PEAK ENERGY INC,Colin,Marshall,X,X,,,,,
34042,2017,12572Q10,CME GROUP INC,Terrence,Duffy,X,X,,,,,
50480,2017,12589610,CMS ENERGY CORP,Patricia,Poppe,X,X,,,,,
54059,2017,12611710,CNA FINANCIAL CORP,Dino,Robusto,X,X,,,,,
34519,2017,1.26E+14,CNO FINANCIAL GROUP INC,Edward,Bonach,X,X,,,,,
31468,2017,12653C10,CNX RESOURCES CORPORATION,Nicholas,DeIuliis,X,X,,,,,
5807,2017,19109810,COCA-COLA BTLNG CONS,J.,Harrison,X,X,,,,,
51984,2017,19121610,COCA-COLA CO,James Robert,Quincey,X,X,,,,,
27580,2017,19210850,COEUR MINING INC,Mitchell,Krebs,X,X,,,,,
52301,2017,19239V30,COGENT COMMUNICATIONS HLDGS,David,Schaeffer,X,X,,,,,
36987,2017,19242210,COGNEX CORP,Robert,Willett,X,X,,,,,
27658,2017,19244610,COGNIZANT TECH SOLUTIONS,Francisco,D'Souza,X,X,,,,,
13762,2017,19247910,COHERENT INC,John,Ambroseo,X,X,,,,,
45096,2017,19257610,COHU INC,Luis,Mller,X,X,,,,,
23709,2017,19416210,COLGATE-PALMOLIVE CO,Ian,Cook,X,X,,,,,
50244,2017,19723610,COLUMBIA BANKING SYSTEM INC,Hadley,Robbins,X,X,,,,,
581,2017,20030N10,COMCAST CORP,Brian,Roberts,X,X,,,,,
9504,2017,20034010,COMERICA INC,Ralph,Babb,X,X,,,,,
38529,2017,19990810,COMFORT SYSTEMS USA INC,Brian,Lane,X,X,,,,,
10850,2017,20052510,COMMERCE BANCSHARES INC,David,Kemper,X,X,,,,,
43049,2017,20172310,COMMERCIAL METALS,Joseph,Alvarado,X,X,,,,,
36189,2017,20360710,COMMUNITY BANK SYSTEM INC,Mark,Tryniski,X,X,,,,,
33059,2017,20366810,COMMUNITY HEALTH SYSTEMS INC,Wayne,Smith,X,X,,,,,
56154,2017,20369C10,COMMUNITY HEALTHCARE TRUST,Timothy,Wallace,X,X,,,,,
49155,2017,20451N10,COMPASS MINERALS INTL INC,Francis,Malecha,X,X,,,,,
39860,2017,20530610,COMPUTER PROGRAMS & SYSTEMS,John,Douglas,X,X,,,,,
25792,2017,20547710,COMPUTER TASK GROUP INC,Arthur,Crumlish,X,X,,,,,
40022,2017,20564W10,COMSCORE INC,Gian,Fulgoni,https://twitter.com/gfulgoni,gfulgoni,0,20,2018/12/8,???,
36064,2017,20576830,COMSTOCK RESOURCES INC,Miles,Allison,X,X,,,,,
29859,2017,20582620,COMTECH TELECOMMUN,Fred,Kornberg,X,X,,,,,
52325,2017,20605P10,CONCHO RESOURCES INC,Timothy,Leach,X,X,,,,,
50657,2017,20741010,CONMED CORP,Curt,Hartman,X,X,,,,https://www.linkedin.com/in/curt-hartman-b94a1461,
56231,2017,20854L10,CONSOL ENERGY INC,James,Brock,X,X,,,,https://www.linkedin.com/in/jimmy-brock-10350527/,
49744,2017,20903410,CONSOLIDATED COMM HLDGS INC,C.,Udell,X,X,,,,,
48704,2017,20911510,CONSOLIDATED EDISON INC,John,McAvoy,X,X,,,,,
13122,2017,21036P10,CONSTELLATION BRANDS -CL A,Robert,Sands,X,X,,,,,
48910,2017,21075N20,CONTANGO OIL & GAS CO,Allan,Keel,X,X,,,,,
55647,2017,21240D10,CONTROL4 CORP,Martin,Plaehn,X,X,,,,,
39716,2017,21248510,CONVERGYS CORP,Andrea,Ayers,X,X,,,,,
13891,2017,21664840,COOPER COMPANIES INC,Robert,Weiss,X,X,,,,,
38895,2017,21683110,COOPER TIRE & RUBBER CO,Bradley,Hughes,X,X,,,,,
53781,2017,21676P10,COOPER-STANDARD HOLDINGS INC,Jeffrey,Edwards,X,X,,,,,
17883,2017,21720410,COPART INC,A.,Adair,X,X,,,,,
56331,2017,21835210,CORCEPT THERAPEUTICS INC,Joseph,Belanoff,X,X,,,,,
55736,2017,N2271710,CORE LABORATORIES NV,David,Demshur,X,X,,,,,
51665,2017,21868110,CORE MARK HOLDING CO INC,Thomas,Perkins,X,X,,,,https://www.linkedin.com/in/tom-perkins-66b69820/,
41861,2017,21871N10,CORECIVIC INC,Damon,Hininger,https://twitter.com/DamonHininger,DamonHininger,17,3,2018/12/8,,
45925,2017,21871D10,CORELOGIC INC,Frank,Martell,X,X,,,,,
55147,2017,21870Q10,CORESITE REALTY CORP,Paul,Szurek,X,X,,,,,
18372,2017,21935010,CORNING INC,Wendell,Weeks,X,X,,,,,
45523,2017,22002T10,CORPORATE OFFICE PROPERT,Stephen,Budorick,X,X,,,,,
39446,2017,22100610,CORVEL CORP,Victor,Clemons,https://twitter.com/golf02022002,golf02022002,1,19,2018/12/8,??????????????????,
28254,2017,22160K10,COSTCO WHOLESALE CORP,W.,Jelinek,X,X,,,,,
53598,2017,22207020,COTY INC,Camillo,Pane,X,X,,,,,
34576,2017,22279510,COUSINS PROPERTIES INC,Lawrence,Gellerstedt,X,X,,,,https://www.linkedin.com/in/larry-gellerstedt-b5325273/,
38378,2017,22410J10,CRACKER BARREL OLD CTRY STOR,Sandra,Cochran,X,X,,,,,
28540,2017,22439910,CRANE CO,Max,Mitchell,X,X,,,,,
52222,2017,22522330,CRAY INC,Peter,Ungaro,https://twitter.com/PeterUngaro1,PeterUngaro1,2,0,2018/12/8,???????????????,
18560,2017,22544710,CREE INC,Charles,Swoboda,X,X,,,,,
50972,2017,22704610,CROCS INC,Andrew,Rees,X,X,,,,,
49123,2017,22748310,CROSS COUNTRY HEALTHCARE INC,William,Grubbs,https://twitter.com/CEOCrossCountry,CEOCrossCountry,20,0,2018/12/8,????????,
44993,2017,22822V10,CROWN CASTLE INTL CORP,Jay,Brown,X,X,,,,,
34524,2017,22836810,CROWN HOLDINGS INC,Timothy,Donahue,X,X,,,,,
50742,2017,22890310,CRYOLIFE INC,James,MacKin,X,X,,,,,
42383,2017,12634910,CSG SYSTEMS INTL INC,Bret,Griess,X,X,,,,,
59865,2017,12640810,CSX CORP,E.,Harrison,X,X,,,,,
48692,2017,12650110,CTS CORP,Kieran,O'Sullivan,X,X,,,,,
48114,2017,22966910,CUBIC CORP,Bradley,Feldmann,X,X,,,,,
5864,2017,22989910,CULLEN/FROST BANKERS INC,Phillip,Green,X,X,,,,,
23443,2017,23102110,CUMMINS INC,N.,Linebarger,X,X,,,,,
32781,2017,23156110,CURTISS-WRIGHT CORP,David,Adams,X,X,,,,,
53376,2017,23204G10,CUSTOMERS BANCORP INC,Jay,Sidhu,X,X,,,,,
60228,2017,23210910,CUTERA INC,James,Reinstein,https://twitter.com/JAReinstein,JAReinstein,19,1,2018/12/8,https://www.linkedin.com/in/james-reinstein-7755a634/ ????,
45477,2017,12660010,CVB FINANCIAL CORP,Christopher,Myers,X,X,,,,,
13052,2017,12665010,CVS HEALTH CORP,Larry,Merlo,X,X,,,,,
52613,2017,23280610,CYPRESS SEMICONDUCTOR CORP,Hassane,El-Khoury,https://twitter.com/HassaneElkhoury,HassaneElkhoury,19,1,2018/12/8,,
54256,2017,23283R10,CYRUSONE INC,Gary,Wojtaszek,X,X,,,,,
55387,2017,23282W60,CYTOKINETICS INC,Robert,Blum,X,X,,,,,
49910,2017,23331A10,D R HORTON INC,David,Auld,X,X,,,,,
51989,2017,23582520,DANA INC,James,Kamsickas,X,X,,,,,
34148,2017,23585110,DANAHER CORP,Thomas,Joyce,X,X,,,,,
36201,2017,23726610,DARLING INGREDIENTS INC,Randall,Stuewe,X,X,,,,https://www.linkedin.com/in/randall-stuewe-06038811/,
21028,2017,23918K10,DAVITA INC,Kent,Thiry,https://twitter.com/KentThiry,KentThiry,15,5,2018/12/8,,
53065,2017,23315320,DCT INDUSTRIAL TRUST INC,Philip,Hawkins,X,X,,,,,
57930,2017,23317H85,DDR CORP,David,Lukes,X,X,,,,https://www.linkedin.com/in/david-lukes-27759918/,
52863,2017,24237020,DEAN FOODS CO,Ralph,Scozzafava,X,X,,,,,
32047,2017,24419910,DEERE & CO,Samuel,Allen,X,X,,,,,
4471,2017,24799Q93,DELL TECHNOLOGIES INC,Michael,Dell,https://twitter.com/MichaelDell,MichaelDell,20,0,2018/12/8,,
56226,2017,G2709G10,DELPHI TECHNOLOGIES PLC,Liam,Butterworth,X,X,,,,,
31643,2017,24736170,DELTA AIR LINES INC,Edward,Bastian,X,X,,,,,
32718,2017,24801910,DELUXE CORP,Lee,Schram,X,X,,,,,
52701,2017,24791620,DENBURY RESOURCES INC,Christian,Kendall,X,X,,,,,
45472,2017,24869P10,DENNYS CORP,John,Miller,X,X,,,,,
54743,2017,24906P10,DENTSPLY SIRONA INC,Jeffrey,Slovin,X,X,,,,,
58187,2017,24990810,DEPOMED INC,Arthur,Higgins,X,X,,,,,
22444,2017,25065K10,DESTINATION XL GROUP INC,David,Levin,X,X,,,,,
42555,2017,25179M10,DEVON ENERGY CORP,David,Hager,X,X,,,,,
46268,2017,23331S10,DHI GROUP INC,Michael,Durney,https://twitter.com/MikeDurney1?lang=en,MikeDurney1,1,0,2018/12/8,https://www.linkedin.com/in/mikedurney1/,
50808,2017,25271C10,DIAMOND OFFSHRE DRILLING INC,Marc Gerard,Edwards,X,X,,,,,
34565,2017,25278430,DIAMONDROCK HOSPITALITY CO,Mark,Brugger,X,X,,,,,
31942,2017,25339310,DICKS SPORTING GOODS INC,Edward,Stack,X,X,,,,,
48362,2017,25365110,DIEBOLD NIXDORF INC,Andreas,Mattes,https://twitter.com/Andy_Mattes,Andy_Mattes,0,0,2018/12/8,?????????????,
51749,2017,25379810,DIGI INTERNATIONAL INC,Ronald,Konezny,X,X,,,,,
53354,2017,25386810,DIGITAL REALTY TRUST INC,Arthur,Stein,X,X,,,,,
754,2017,25406710,DILLARDS INC -CL A,William,Dillard,X,X,,,,,
22992,2017,25392210,DIME COMMUNITY BANCSHARES,Kenneth,Mahon,X,X,,,,,
60067,2017,25442310,DINE BRANDS GLOBAL INC,Richard,Dahl,X,X,,,,,
30854,2017,25454310,DIODES INC,Keh-Shew,Lu,X,X,,,,,
52706,2017,25456K10,DIPLOMAT PHARMACY INC,Philip,Hagerman,X,X,,,,,
35959,2017,25470910,DISCOVER FINANCIAL SVCS,David,Nelms,X,X,,,,,
39943,2017,25470F10,DISCOVERY INC,David,Zaslav,X,X,,,,,
54381,2017,25470M10,DISH NETWORK CORP,W.,Carlson,X,X,,,,,
20714,2017,25468710,DISNEY (WALT) CO,Robert,Iger,https://twitter.com/RobertIger,RobertIger,8,12,22018/12/08,,
5887,2017,25551910,DIXIE GROUP INC,Daniel,Frierson,X,X,,,,,
42236,2017,25667710,DOLLAR GENERAL CORP,Todd,Vasos,X,X,,,,,
19468,2017,25674610,DOLLAR TREE INC,Bob,Sasser,X,X,,,,,
16156,2017,25746U10,DOMINION ENERGY INC,Thomas,Farrell,X,X,,,,,
47763,2017,25754A20,DOMINO'S PIZZA INC,J.,Doyle,X,X,,,,,
44322,2017,25755920,DOMTAR CORP,John,Williams,X,X,,,,,
38272,2017,25765110,DONALDSON CO INC,Tod,Carpenter,X,X,,,,,
34234,2017,25786720,DONNELLEY (R R) & SONS CO,Daniel,Knotts,X,X,,,,,
53689,2017,25787G10,DONNELLEY FINANCIAL SOLTNS,Daniel,Leib,X,X,,,,,
46829,2017,25827810,DORMAN PRODUCTS INC,Mathias,Barton,X,X,,,,,
50995,2017,25960P10,DOUGLAS EMMETT INC,Jordan,Kaplan,X,X,,,,,
37150,2017,26000310,DOVER CORP,Robert,Livingston,X,X,,,,,
26893,2017,26078J10,DOWDUPONT INC,Andrew,Liveris,X,X,,,,,
36620,2017,2.61E+14,DR PEPPER SNAPPLE GROUP INC,Larry,Young,X,X,,,,,
45658,2017,26203710,DRIL-QUIP INC,Blake,DeBerry,X,X,,,,,
42357,2017,23332B10,DSP GROUP INC,Ofer,Elyakim,X,X,,,,,
38903,2017,23332610,DST SYSTEMS INC,Stephen,Hooley,X,X,,,,,
54818,2017,23334L10,DSW INC,Roger,Rawlins,X,X,,,,,
14261,2017,23333110,DTE ENERGY CO,Gerard,Anderson,X,X,,,,,
37131,2017,26441C20,DUKE ENERGY CORP,Lynn,Good,X,X,14-???,X,X,,
44115,2017,26441150,DUKE REALTY CORP,James,Connor,https://twitter.com/JBC366,JBC366,14-???,X,X,???,
48708,2017,2.65E+14,DUN & BRADSTREET CORP,Robert,Carrigan,https://twitter.com/bobcarrigan,BobCarrigan,14-???,16,4,,
51216,2017,26550410,DUNKIN' BRANDS GROUP INC,Nigel,Travis,https://twitter.com/nigeltravis,nigeltravis,14-???,18,2,,
47976,2017,23337740,DXP ENTERPRISES INC,David,Little,X,X,14-???,X,X,,
15734,2017,26747510,DYCOM INDUSTRIES INC,Steven,Nielsen,X,X,14-???,X,X,,
45962,2017,26817R10,DYNEGY INC,Robert,Flexon,https://twitter.com/robert_flexon,robert_flexon,14-???,2,0,???????????????,
49030,2017,26924640,E TRADE FINANCIAL CORP,Karl,Roessner,X,X,14-???,X,X,,
38092,2017,26969P10,EAGLE MATERIALS INC,David,Powers,X,X,14-???,X,X,,
53645,2017,26979610,EAGLE PHARMACEUTICALS INC,Scott,Tarriff,X,X,14-???,X,X,,
20526,2017,27579R10,EAST WEST BANCORP INC,Dominic,Ng,X,X,14-???,X,X,,
56148,2017,27616P10,EASTERLY GOVERNMENT PPTYS,William,Trimble,X,X,14-???,X,X,,
52463,2017,27727610,EASTGROUP PROPERTIES,Marshall,Loeb,X,X,14-???,X,X,,
34163,2017,27743210,EASTMAN CHEMICAL CO,Mark,Costa,X,X,14-???,X,X,,
50498,2017,27746140,EASTMAN KODAK CO,Jeffrey,Clarke,X,X,17-???,X,X,,
23534,2017,G2918310,EATON CORP PLC,Craig,Arnold,X,X,17-???,X,X,,
45686,2017,27864210,EBAY INC,Devin,Wenig,https://twitter.com/devinwenig,devinwenig,17-???,15,5,,
39340,2017,27871520,EBIX INC,Robin,Raina,X,X,17-???,X,X,,
51017,2017,27875T10,ECHO GLOBAL LOGISTICS INC,Douglas,Waggoner,https://twitter.com/echoceo,echoceo,17-???,1,0,???????????????,
23730,2017,27886510,ECOLAB INC,Douglas,Baker,https://twitter.com/CEOEcolab,CEOEcolab,17-???,X,X,,
60176,2017,28035810,EDGEWATER TECHNOLOGY INC,Jeffrey,Rutherford,X,X,17-???,X,X,,
30026,2017,28035Q10,EDGEWELL PERSONAL CARE CO,David,Hatfield,X,X,17-???,X,X,,
37018,2017,28102010,EDISON INTERNATIONAL,Pedro,Pizarro,X,X,17-???,X,X,,
49739,2017,28140H20,EDUCATION REALTY TRUST INC,Randall,Churchey,X,X,17-???,X,X,,
21690,2017,2.82E+14,EDWARDS LIFESCIENCES CORP,Michael,Mussallem,X,X,17-???,X,X,,
55412,2017,28238P10,EHEALTH INC,Scott,Flanders,https://twitter.com/sflanders1,sflanders1 ?,17-???,17,3,,
44086,2017,28367785,EL PASO ELECTRIC CO,Mary,Kipp,X,X,17-???,X,X,,
53653,2017,26860310,EL POLLO LOCO HOLDINGS INC,Stephen,Sather,X,X,17-???,X,X,,
47724,2017,28551210,ELECTRONIC ARTS INC,Andrew,Wilson,X,X,17-???,X,X,,
46511,2017,28608210,ELECTRONICS FOR IMAGING INC,Guy,Gecht,https://twitter.com/GuyGecht,GuyGecht,24-???,18,2,EFI names Bill Muir as its new CEO to replace Guy Gecht in Oct. 2018,
35261,2017,28885310,ELLIS PERRY INTL INC,Oscar,Feldenkreis,X,X,24-???,X,X,,
29360,2017,29084Q10,EMCOR GROUP INC,Anthony,Guzzi,X,X,24-???,X,X,,
38557,2017,29089Q10,EMERGENT BIOSOLUTIONS INC,Daniel,Abdun-Nabi,X,X,24-???,X,X,,
20544,2017,29101110,EMERSON ELECTRIC CO,David,Farr,X,X,24-???,X,X,,
20534,2017,29152540,EMMIS COMMUNICATIONS CP-CL A,Jeffrey,Smulyan,X,X,24-???,X,X,,
38564,2017,29221810,EMPLOYERS HOLDINGS INC,Douglas,Dirks,X,X,24-???,X,X,,
51356,2017,29251M10,ENANTA PHARMACEUTICALS INC,Jay,Luly,X,X,24-???,X,X,,
32941,2017,29261A10,ENCOMPASS HEALTH CORP,Mark,Tarr,X,X,24-???,X,X,,
49095,2017,29255410,ENCORE CAPITAL GROUP INC,Ashish,Masih,X,X,24-???,X,X,,
38570,2017,29256210,ENCORE WIRE CORP,Daniel,Jones,X,X,24-???,X,X,,
53294,2017,G3040110,ENDO INTERNATIONAL PLC,Paul,Campanelli,X,X,24-???,X,X,,
13622,2017,29265N10,ENERGEN CORP,James,McManus,X,X,24-???,X,X,,
51392,2017,29272W10,ENERGIZER HOLDINGS INC,Alan,Hoskins,X,X,24-???,X,X,,
48035,2017,29275Y10,ENERSYS,David,Shaffer,X,X,24-???,X,X,,
54706,2017,29286C10,ENGILITY HOLDINGS INC,Lynn,Dugle,X,X,24-???,X,X,,
15150,2017,29338910,ENNIS INC,Keith,Walters,X,X,24-???,X,X,,
49990,2017,29357K10,ENOVA INTERNATIONAL INC,David,Fisher,X,X,24-???,X,X,,
37307,2017,29355X10,ENPRO INDUSTRIES INC,Stephen,Macadam,X,X,24-???,X,X,,
50460,2017,G3157S10,ENSCO PLC,Carl,Trowell,X,X,24-???,X,X,,
42886,2017,29358P10,ENSIGN GROUP INC,Christopher,Christensen,X,X,24-???,X,X,,
20826,2017,29363910,ENTERCOM COMMUNICATIONS CORP,David,Field,https://twitter.com/davidfieldetm,DavidFieldETM,26-??,13,7,,
28688,2017,29364G10,ENTERGY CORP,Leo,Denault,X,X,26-??,X,X,,
5925,2017,29410010,ENZO BIOCHEM INC,Elazar,Rabbani,X,X,26-??,X,X,,
45458,2017,26875P10,EOG RESOURCES INC,William,Thomas,X,X,26-??,X,X,,
36222,2017,26884U10,EPR PROPERTIES,Gregory,Silvers,X,X,26-??,X,X,,
36926,2017,26884L10,EQT CORP,Steven,Schlotterbeck,X,X,26-??,X,X,,
30608,2017,29442910,EQUIFAX INC,Richard,Smith,X,X,26-??,X,X,,
38575,2017,29444U70,EQUINIX INC,Stephen,Smith,X,X,26-??,X,X,,
21386,2017,29476L10,EQUITY RESIDENTIAL,David,Neithercut,X,X,26-??,X,X,,
46941,2017,26885G10,ERA GROUP INC,Christopher,Bradshaw,X,X,26-??,X,X,,
36977,2017,29631510,ESCO TECHNOLOGIES INC,Victor,Richey,X,X,26-??,X,X,,
53428,2017,29668910,ESSENDANT INC,Robert,Aiken,X,X,26-??,X,X,,
27401,2017,29717810,ESSEX PROPERTY TRUST,Michael,Schall,X,X,26-??,X,X,,
50027,2017,29742510,ESTERLINE TECHNOLOGIES CORP,Curtis,Reusser,X,X,26-??,X,X,,
7951,2017,29760210,ETHAN ALLEN INTERIORS INC,M.,Kathwari,X,X,26-??,X,X,,
48057,2017,29977A10,EVERCORE INC,Ralph,Schlosstein,X,X,26-??,X,X,,
42370,2017,G3223R10,EVEREST RE GROUP LTD,Dominic,Addesso,X,X,26-??,X,X,,
27492,2017,30034W10,EVERGY INC,Mark,Ruelle,X,X,26-??,X,X,,
46728,2017,30040W10,EVERSOURCE ENERGY,James,Judge,X,X,26-??,X,X,,
58544,2017,30040P10,EVERTEC INC,Morgan,Schuessler,X,X,26-??,X,X,,
20955,2017,81105440,EW SCRIPPS -CL A,Richard,Boehne,https://twitter.com/richboehne,RichBoehne,26-??,7,4,,
34125,2017,30161N10,EXELON CORP,Christopher,Crane,X,X,26-??,X,X,,
46251,2017,30208110,EXLSERVICE HOLDINGS INC,Rohit,Kapoor,X,X,26-??,X,X,,
34604,2017,30212P30,EXPEDIA GROUP INC,Dara,Khosrowshahi,https://twitter.com/dkhos,dkhos,26-??,17,3,,
50501,2017,30213010,EXPEDITORS INTL WASH INC,Jeffrey,Musser,X,X,26-??,X,X,,
38586,2017,30214U10,EXPONENT INC,Paul,Johnston,X,X,26-??,X,X,,
51538,2017,3.02E+14,EXPRESS INC,David,Kornberg,X,X,26-??,X,X,,
50240,2017,30219G10,EXPRESS SCRIPTS HOLDING CO,Timothy,Wentworth,X,X,26-??,X,X,,
52190,2017,30227H10,EXTERRAN CORP,Andrew,Way,X,X,26-??,X,X,,
53039,2017,30225T10,EXTRA SPACE STORAGE INC,Joseph,Margolis,X,X,26-??,X,X,,
51645,2017,30226D10,EXTREME NETWORKS INC,Edward,Meyercord,X,X,26-??,X,X,,
53531,2017,30231G10,EXXON MOBIL CORP,Darren,Woods,X,X,26-??,X,X,,
51780,2017,30230110,EZCORP INC -CL A,Stuart,Grimshaw,X,X,26-??,X,X,,
44153,2017,30252010,F N B CORP/FL,Vincent,Delie,X,X,26-??,X,X,,
29701,2017,31561610,F5 NETWORKS INC,John,McAdam,X,X,26-??,X,X,,
49205,2017,G3323L10,FABRINET,David,Mitchell,X,X,26-??,X,X,,
48275,2017,30303M10,FACEBOOK INC,Mark,Zuckerberg,X,X,26-??,X,X,????????????????twitter???,
49931,2017,30307510,FACTSET RESEARCH SYSTEMS INC,Frederick,Snow,X,X,26-??,X,X,,
46487,2017,30325010,FAIR ISAAC CORP,William,Lansing,X,X,26-??,X,X,,
38930,2017,31358610,FANNIE MAE,Timothy,Mayopoulos,X,X,26-??,X,X,,
34633,2017,31164210,FARO TECHNOLOGIES INC,Simon,Raab,X,X,26-??,X,X,,
16179,2017,31190010,FASTENAL CO,Daniel,Florness,X,X,26-??,X,X,,
46809,2017,31340030,FEDERAL HOME LOAN MORTG CORP,Donald,Layton,X,X,26-??,X,X,,
34638,2017,31374720,FEDERAL REALTY INVESTMENT TR,Donald,Wood,X,X,26-??,X,X,,
28763,2017,31385510,FEDERAL SIGNAL CORP,Jennifer,Sherman,X,X,26-??,X,X,,
21390,2017,31421110,FEDERATED INVESTORS INC,John,Donahue,X,X,26-??,X,X,??,
37319,2017,31540510,FERRO CORP,Peter,Thomas,X,X,26-??,X,X,,
37283,2017,31620M10,FIDELITY NATIONAL INFO SVCS,Gary,Norcross,https://twitter.com/gary_norcross,Gary_Norcross,26-??,20,0,,
31984,2017,31620R30,FIDELITY NATL FINL FNF GROUP,Raymond,Quirk,X,X,26-??,X,X,,
53953,2017,31639410,FIDELITY SOUTHERN CORP,James,Miller,X,X,26-??,X,X,,
60329,2017,31660B10,FIESTA RESTAURANT GROUP INC,Richard,Stockinger,X,X,2018/11/16,X,X,,
28392,2017,31677310,FIFTH THIRD BANCORP,Gregory,Carmichael,X,X,2018/11/16,X,X,,
44692,2017,31748510,FINANCIAL ENGINES INC,Lawrence,Raffone,X,X,2018/11/16,X,X,,
44500,2017,31792310,FINISH LINE INC -CL A,Samuel,Sato,X,X,2018/11/16,X,X,,
43248,2017,31847R10,FIRST AMERICAN FINANCIAL CP,Dennis,Gilmore,X,X,2018/11/16,X,X,,
16709,2017,31867270,FIRST BANCORP P R,Aurelio,Alemn-Bermudez,X,X,2018/11/16,X,X,,
37810,2017,31982910,FIRST COMMONWLTH FINL CP/PA,Thomas,Price,X,X,2018/11/16,X,X,??mike price,
48549,2017,32008D10,FIRST DATA CORP,Frank,Bisignano,X,X,2018/11/16,X,X,,
31989,2017,32020910,FIRST FINL BANCORP INC/OH,Claude,Davis,X,X,2018/11/16,X,X,,
35747,2017,32020R10,FIRST FINL BANKSHARES INC,F.,Dueser,X,X,2018/11/16,X,X,,
34808,2017,32051710,FIRST HORIZON NATIONAL CORP,D.,Jordan,X,X,2018/11/16,X,X,,
54924,2017,32054K10,FIRST INDL REALTY TRUST INC,Peter,Baccile,X,X,2018/11/16,X,X,,
25907,2017,32086710,FIRST MIDWEST BANCORP INC,Michael,Scudder,X,X,2018/11/18,X,X,,
36773,2017,33616C10,FIRST REPUBLIC BANK,James,Herbert,X,X,2018/11/18,X,X,,
45845,2017,33643310,FIRST SOLAR INC,Mark,Widmar,X,X,2018/11/18,X,X,,
33293,2017,33767D10,FIRSTCASH INC,Rick,Wessel,X,X,2018/11/18,X,X,,
43756,2017,33793210,FIRSTENERGY CORP,Charles,Jones,X,X,2018/11/18,X,X,,
30590,2017,33773810,FISERV INC,Jeffrey,Yabuki,https://twitter.com/jeffyabuki,jeffyabuki,2018/11/18,19,0,,
51932,2017,33829M10,FIVE BELOW INC,Joel,Anderson,X,X,2018/11/18,X,X,,
42620,2017,33793070,FLAGSTAR BANCORP INC,Alessandro,DiNello,https://twitter.com/sandrodinello,sandrodinello,2018/11/18,15,5,Flagstar?nba??????2017-18?????????????????ceo??????????????????????????????????,
25711,2017,30244510,FLIR SYSTEMS INC,Andrew,Teich,https://twitter.com/AndyTeich,AndyTeich,2018/11/18,0,0,,
47934,2017,34338910,FLOTEK INDUSTRIES INC,John,Chisholm,X,X,2018/11/18,X,X,,
26112,2017,34349810,FLOWERS FOODS INC,Allen,Shiver,X,X,2018/11/18,X,X,,
