name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created
Derek_Leathers,'2902739274,28890,2017,Derek J. Leathers,1087,533,en,2014-11-17 13:31:37
WesternUnionCEO,'632124727,36009,2017,Hikmet Ersek,13690,256,en,2012-07-10 16:35:02
nonamemarin,'84247044,24471,2017,Laura J. Alber,10,71,en,2009-10-22 05:16:06
TonyThomasWIN,'2817606480,40005,2017,Anthony W. Thomas,2013,276,en,2014-09-18 18:57:44
WingstopCEO,'838521102,53922,2017,Charles R. Morrison,3037,206,en,2012-09-21 20:36:28
kazzy13a,'99266673,29803,2017,Michael J. Kasbar,2,7,en,2009-12-25 11:17:17
VinceMcMahon,'1222639789,51870,2017,Vincent K. McMahon,2219131,51,en,2013-02-26 18:06:09
stevewynnfacts,'2990285665,37104,2017,Stephen A. Wynn,219,12,en,2015-01-19 19:26:55
msteib,'21576338,49101,2017,Michael F. Steib,3464,893,en,2009-02-22 16:35:22
PatrickKDecker,'2697201733,50421,2017,Patrick K. Decker,1809,419,en,2014-08-01 03:07:33
DWagnerPSU,'151078489,55243,2017,David J. Wagner,307,323,en,2010-06-02 15:07:17
brentlsaunders,'3014302521,50744,2017,Brenton L. Saunders,9470,1111,en,2015-02-03 11:47:00
amolinaroli,'363889181,38449,2017,Alex A. Molinaroli,11788,296,en,2011-08-28 21:24:07
MitchBarns,'63727579,49062,2017,Dwight Mitchell Barns,1139,172,en,2009-08-07 14:01:47
JohnJamesHaley,'3294149243,55059,2017,John J. Haley,948,50,en,2015-05-22 15:44:31
LevinIlan,'1718599693,47961,2017,Ilan Levin,7,34,en,2013-09-01 10:19:03
richard00857062,'1044728951657181184,49916,2017,Richard D. Fain,37,183,en,2018-09-25 23:22:47
