CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
49957,2017,Valentin P. Gapontsev,X
30920,2017,Jay S. Sugarman,X
34198,2017,Denise L. Ramos,X
55260,2017,John N. Haugh,sgh_john
26336,2017,Jonathan W. Ayers,X
20591,2017,Steven Humphreys,X
45089,2017,Robert W. Pittman,PittmanRadio
38981,2017,E. Scott Santi,X
51887,2017,Francis A. deSouza,fdesouza
59445,2017,Paul M. Bisaro,PaulBisaro
50766,2017,Herv Hoppenot,IloveIncyte
55483,2017,Scott F. Schaeffer,X
39396,2017,Christopher Oddleifson,chrisoddleifson
34699,2017,"William Bradford Kessel, CPA",X
29118,2017,James Randall Gober,X
53253,2017,D. Michael Wilson,X
42409,2017,Ilene S. Gordon,X
43923,2017,Kenneth T. Lamneck,X
51472,2017,Patrick S. Williams,X
53053,2017,Kim Ann Mink,X
5936,2017,"Howard O. Woltz, Jr.",X
19815,2017,Paul J. Sarvadi,X
51365,2017,Scott Wilkinson,X
51752,2017,Jeffrey W. Edwards,X
53988,2017,Michael W. Aguiar,X
53330,2017,Susan G. Swenson,X
43925,2017,Peter J. Arduini,X
47026,2017,Brian M. Krzanich,bkrunner
59610,2017,Joseph W. Dziedzic,X
44459,2017,Jean Madar,X
42877,2017,Thomas Pechy Peterffy,thomas_peterffy
52496,2017,Jay D. Gould,X
34709,2017,Jeffrey C. Sprecher,X
46308,2017,William J. Merritt,X
55025,2017,Peter D. Aquino,X
39431,2017,Dennis Edward Nixon,X
36942,2017,Virginia M. Rometty,X
50063,2017,Andreas Fibig,X
45185,2017,Mark Stephan Sutton,X
18155,2017,Lesa France Kennedy,LesaISC
29980,2017,Michael Isor Roth,X
49000,2017,Wendell T. Blonigan,X
51637,2017,Sean Michael O'Connor,X
30009,2017,Brad D. Smith,IntuitBrad
52501,2017,Matthew E. Monaghan,X
29715,2017,Gary S. Guthart,X
40054,2017,"Robert P. Jornayvaz, III",X
55329,2017,Francis Joseph Troise,X
33058,2017,R. Brian Hanson,X
46173,2017,Kenneth Joseph Zagzebski,X
55641,2017,Ari Bousbib,X
50397,2017,Matthew J. Desch,IridiumBoss
44621,2017,Colin M. Angle,X
49005,2017,"William L. Meaney, BSc, MEng, MSIA",X
28524,2017,Philip C. Mezey,PhilipMezey
60153,2017,W. Matthew Kelly,X
7184,2017,Gerald B. Shreiber,X
28857,2017,James Dimon,X
43104,2017,Leonard A. Comma,X
60202,2017,"James W. Brett, Jr.",X
51716,2017,Steven J. Demetriou,X
48744,2017,Richard Brian Handler,HandlerRich
37854,2017,Robin Hayes,X
49221,2017,Thomas W. Giacomini,X
45191,2017,Alex Gorsky,X
42401,2017,Christian Ulbrich,X
36282,2017,Nehemia Zucker,X
47383,2017,Rami Rahim,ramirahim
50982,2017,Stuart J. B. Bradie,X
26372,2017,Richard P. Wallace,X
49900,2017,Amin J. Khoury,X
42948,2017,Jack A. Hockema,X
33999,2017,Neal J. Keating,X
32922,2017,Patrick J. Ottensmeyer,X
43218,2017,Matthew Kaplan,X
18188,2017,Jeffrey T. Mezger,X
28564,2017,John A. Bryant,X
34754,2017,George S. Corona,X
29609,2017,Per-Olof Loof,X
52714,2017,"Joseph Patrick Lacher, Jr.",X
53538,2017,Ronald M. De Feo,X
32281,2017,Beth E. Mooney,X
49883,2017,Ronald S. Nersesian,X
23066,2017,"John B. Kilroy, Jr.",X
4834,2017,Thomas J. Falk,X
48932,2017,Conor C. Flynn,X
30727,2017,Steven J. Kean,X
41221,2017,Benjamin A. Breier,X
43347,2017,"David W. Grzebinski, C.F.A.",X
42842,2017,W. Michael Madden,X
34764,2017,John A. Kite,X
48536,2017,Jeffrey S. Niew,X
12926,2017,Kevin Mansell,X
20454,2017,Chin Chiang Fan,X
44305,2017,"Leroy M. Ball, Jr.",X
48399,2017,Bernardo Vieira Hees,X
44636,2017,Kevin M. Fogarty,X
16382,2017,William Rodney McMullen,X
59934,2017,Fusen Ernie Chen,X
1329,2017,Leslie H. Wexner,Les_Wexner
34850,2017,Keith G. Myers,X
53640,2017,Eric Thomas Lipar,X
52310,2017,Dominick P. Zarcone,X
31113,2017,Jason D. Lippert,JasonDLippert
53168,2017,Daniel D. Greenwell,X
30694,2017,Wendy L. Simpson,X
54320,2017,"Thomas J. Quinlan, III",X
19200,2017,Michael T. Strianese,X
31744,2017,Martin B. Anstice,X
34781,2017,Sean E. Reilly,X
3396,2017,"John B. Gerlach, Jr.",X
34840,2017,James B. Gattoni,X
49486,2017,Arthur P. Bedrosian,X
55278,2017,Mary Anne Heino,X
35740,2017,Michael D. Barnello,X
44132,2017,Darin G. Billerbeck,X
38263,2017,Fabrizio Freda,X
47038,2017,Michael G. DeCata,X
35342,2017,Matthew J. Simoncini,X
32065,2017,Kevin D. Mowbray,X
25064,2017,Karl G. Glassman,X
47453,2017,Kevin J. Hanigan,X
25720,2017,Joseph A. Sullivan,X
50974,2017,Roger A. Krone,X
55417,2017,George W. LeMaitre,X
51515,2017,Douglas R. Lebda,DougLebda
11504,2017,Stuart A. Miller,X
34843,2017,Todd M. Bluedorn,X
26286,2017,T. Wilson Eglin,X
54886,2017,William A. Foley,X
36098,2017,William P. Hankowsky,X
22395,2017,"William F. Carpenter, III",X
36431,2017,David L. Rogers,X
57001,2017,David A. Ricks,X
44605,2017,Scott M. Shaw,X
45205,2017,Christopher L. Mapes,X
32390,2017,Dennis Robert Glass,X
20831,2017,Richard W. Parod,X
43015,2017,"William P. Angrick, III",bill_angrick
34863,2017,Bryan B. DeBoer,X
30556,2017,David W. Heinzmann,X
36297,2017,Michael Rapino,rapino99
44266,2017,Robert P. LoCascio,RobLoCascio
43351,2017,Marillyn A. Hewson,X
4838,2017,James S. Tisch,X
49214,2017,William R. Wagner,B_Wagner
46707,2017,William Bradley Southern,X
27559,2017,Robert Alan Niblock,X
23304,2017,"Christopher J. Pappas, Jr.",X
51616,2017,Alan S. Lowe,X
50906,2017,Nachum Shamir,X
34872,2017,Dale G. Barnhart,X
54305,2017,Matthew R. Zaist,X
10867,2017,Robert G. Wilmers,X
18958,2017,"Joseph Warner Brown, Jr.",X
46862,2017,Mitchell S. Feiger,X
6245,2017,Larry A. Mizel,X
43353,2017,David L. Goodin,X
28815,2017,Patrick Sinks,X
23752,2017,James Joseph Murren,X
59112,2017,Augustus C. Griffin,X
29885,2017,Robert H. Schottenstein,X
32843,2017,Gerald G. Colella,X
30632,2017,William M. Lambert,X
43153,2017,Erik David Gershwind,X
40035,2017,Henry A. Fernandez,X
46448,2017,Jeffrey A. Graves,X
51528,2017,"Richard S. Swartz, Jr.",X
29722,2017,"Arthur M. Coppola, CPA",X
53264,2017,"Michael J. DeMarco, CPA",X
47005,2017,Jeffrey Gennette,X
42811,2017,Edward R. Rosenfeld,X
48695,2017,Barry Morgan Smith,X
42411,2017,Eddie Capel,X
54129,2017,Barry L. Pennypacker,X
37869,2017,Alfredo Bala,albala
34053,2017,Jonas Prising,JonasPrising
36305,2017,George J. Pedersen,X
48429,2017,Lee M. Tillman,X
44695,2017,Gary R. Heminger,X
29848,2017,Gregory S. Marcus,GregorySMarcus
33141,2017,"William H. McGill, Jr.",X
46389,2017,Richard Mitchell McVey,X
44963,2017,Stephen P. Weisz,X
37202,2017,Daniel S. Glaser,X
21212,2017,Arne M. Sorenson,X
51350,2017,Randolph L. Marten,X
34799,2017,C. Howard Nye,X
50551,2017,Keith J. Allman,X
24684,2017,Jos Ramon Mas,JoseRMas
42454,2017,Ajaypal S. Banga,X
55540,2017,Joseph Wm. Foran,X
59859,2017,Jugal K. Vijayvargiya,X
44749,2017,John R. Hewitt,X
26876,2017,Matthew J. Cox,X
59947,2017,Mary Margaret Hastings Georgiadis,X
19836,2017,Kelly D. Conway,X
33890,2017,Joseph C. Bartolacci,X
9279,2017,Tun Doluca,X
55434,2017,Kishore Seendripu,X
24894,2017,Richard A. Montoni,X
32096,2017,Lawrence E. Kurzius,LKurzius
48752,2017,David Dickson,X
50557,2017,Stephen J. Easterbrook,SteveEasterbrk
13072,2017,John H. Hammergren,X
33096,2017,"Edward K. Aldag, Jr.",X
44567,2017,Clive A. Meanwell,clive_meanwell
54898,2017,Daniel R. Chard,X
45008,2017,Tarek A. Sherif,X
15136,2017,Roger J. Medel,X
30256,2017,Kenneth C. Frazier,X
35903,2017,Mark Aslett,MRCY_CEO
29739,2017,Gabriel Tirador,X
17784,2017,Stephen M. Lacy,X
31636,2017,John A. Kraeutler,X
36311,2017,Fred P. Lampropoulos,X
27420,2017,Steven J. Hilton,X
36535,2017,Jeffrey A. Craig,X
55716,2017,J. Tyler Haahr,X
37185,2017,Steven Albert Kandarian,X
26195,2017,Olivier A. Filliol,X
49291,2017,Carl S. Rubin,X
47866,2017,Satya Nadella,satyanadella
18581,2017,Michael J. Saylor,michael_saylor
15672,2017,D. Mark Durcan,X
22558,2017,James J. Peterson,X
31525,2017,"H. Eric Bolton, Jr.",X
45537,2017,Douglas T. Dietrich,X
31357,2017,Thomas A. Burke,X
8367,2017,Jeffrey S. Lorberbaum,X
60240,2017,Joseph Michael Zubretsky,X
37210,2017,Mark R. Hunter,X
45017,2017,Craig A. Wheeler,X
38838,2017,Craig O. Morrison,X
33260,2017,John Farahi,X
23492,2017,Irene B. Rosenfeld,X
45159,2017,W. Alexander Holmes,X
43006,2017,Michael R. Hsing,X
44327,2017,Scott E. Landers,X
23503,2017,Hugh Grant,X
29960,2017,Rodney Cyril Sacks,X
20223,2017,"Raymond W. McDaniel, Jr.",X
36530,2017,John R. Scannell,X
42285,2017,James Patrick Gorman,X
44925,2017,James C. ORourke,JocOrourke
26740,2017,Gregory Q. Brown,gregbrownmoto
33385,2017,Efraim Grinberg,X
32856,2017,Gregory L. Christopher,X
40646,2017,Roger W. Jenkins,X
47897,2017,R. Andrew Clyde,X
52522,2017,R. David Banyard,X
54383,2017,Mark Christopher Capone,X
54773,2017,"John H. Watt, Jr.",X
29744,2017,Norman C. Chambers,X
30276,2017,William R. Nuti,Bill_Nuti
25263,2017,Steven M. Shindler,X
46561,2017,Harry H. Herington,HarryatNIC
55604,2017,Bradley Mize Shuster,X
42731,2017,Mauricio Gutierrez,NRGMauricio
50705,2017,Ram Krishnan,X
19856,2017,Paul C. Saville,X
1638,2017,"Alfred Marshall Rankin, Jr.",X
44408,2017,Timothy J. Stultz,X
35980,2017,Adena T. Friedman,adenatfriedman
54021,2017,G. Timothy Laney,X
28299,2017,Ronald J. Tanski,X
21755,2017,"Alexander M. Davern, CPA",X
30998,2017,Clay C. Williams,X
3608,2017,Maryjo J. Cohen,X
27907,2017,Julian E. Whitehurst,X
55697,2017,Arlen Dale Nordhagen,X
34991,2017,Stanley Adam Galanski,X
45906,2017,Gregory L. Probert,X
35791,2017,James B. Hawkins,X
45544,2017,Bruce M. Cazenave,X
46441,2017,Troy A. Clarke,X
28006,2017,Julie M. Howard,X
23859,2017,John F. Remondi,X
38648,2017,John P. O'Donnell,X
51446,2017,Howard W. Robin,X
32861,2017,"Wilmot Reed Hastings, Jr.",reedhastings
29748,2017,C. S. Lo,X
6360,2017,Laurence M. Downes,X
15160,2017,Joseph R. Ficalora,X
58410,2017,"Steven R. Mumma, CPA",X
46722,2017,Mark J. T. Thompson,X
45243,2017,Michael B. Polk,MichaelPolk55
28847,2017,Lee K. Boothby,X
5312,2017,Thomas E. Gottwald,X
46724,2017,Gary J. Goldberg,X
47829,2017,Paul L. Howes,X
47887,2017,Robert J. Thomson,X
26848,2017,James L. Robo,JimRoboCEO
47067,2017,Joseph J. Hamrock,X
28685,2017,David L. Stover,X
43074,2017,Michael F. Hilton,X
16522,2017,Blake W. Nordstrom,X
34269,2017,James A. Squires,X
28546,2017,Frederick H. Waddell,FredWaddell2016
51508,2017,"Steven M. Klein, CPA",X
30956,2017,Wesley G. Bush,X
44523,2017,William J. Wagner,X
31068,2017,David Hugo Anderson,X
36953,2017,"Robert C. Rowe, Esq.",X
49483,2017,Robert R. Workman,X
54414,2017,Ritch N. Wood,X
26820,2017,John J. Ferriola,X
47590,2017,Dawn M. Zier,DawnZierNTRI
53137,2017,Gregory T. Lucier,X
40694,2017,Robert Sean Trauschke,X
19333,2017,Gregory L. Henslee,X
49873,2017,Jos Rafael Fernndez,X
42724,2017,Deepak Chopra,X
60297,2017,Thomas B. Nusz,X
50088,2017,Vicki A. Hollub,X
48773,2017,Roderick A. Larson,X
55038,2017,Gregory P. Dougherty,X
59099,2017,Gerry P. Smith,X
37477,2017,Cynthia B. Taylor,X
29754,2017,David S. Congdon,X
34902,2017,Robert G. Jones,X
10945,2017,Aldo Charles Zucaro,X
30220,2017,John E. Fischer,X
53665,2017,Mark Butler,X
36346,2017,Michael D. Siegal,X
5109,2017,John D. Wren,X
39486,2017,C. Taylor Pickett,X
52269,2017,Anne P. Noonan,X
34909,2017,Randall A. Lipps,X
48534,2017,"Pierce H. Norton, II",X
40698,2017,Terry K. Spencer,X
55360,2017,Scott M. Clements,X
53219,2017,Stephen H. Gordon,X
54223,2017,Douglas A. Michels,X
51399,2017,David W. Thompson,X
42894,2017,Mark R. Stauffer,X
44639,2017,Kevin J. Lynch,X
43096,2017,Wilson R. Jones,X
54657,2017,Samuel H. Norton,X
52544,2017,Paul Cody Phipps,X
22897,2017,Michael H. Thaman,X
50581,2017,Andres Alberto Lopez,X
29809,2017,"Thomas Caldecot Chubb, III",X
55457,2017,Thomas J. Nimbley,X
49390,2017,David A. Neumann,X
37973,2017,"Barton R. Brookman, Jr.",X
56323,2017,John K. Kibarian,X
37909,2017,John Peter McLaughlin,X
52548,2017,Geisha J. Williams,X
47532,2017,Robert B. Crowl,X
49405,2017,Rodney Hershberger,rod_hershberger
25023,2017,William S. Demchak,X
35023,2017,Patricia K. Vincent-Collawn,X
43368,2017,Michael H. McGarry,X
34214,2017,William H. Spence,X
60380,2017,Colin Shannon,MrColinShannon
36377,2017,Kevin P. Stevenson,X
49362,2017,Ronald E. Stewart,X
31539,2017,Maria R. Hawthorne,X
19396,2017,Emanuel Chirico,X
24935,2017,James E. Heppelmann,JimHeppelmann
39091,2017,Ronald E. Armstrong,X
55745,2017,Steven R. Gardner,X
22735,2017,Mark W. Kowlzan,X
35704,2017,Matthew P. Wagner,X
17117,2017,John H. Schnatter,IAmPapaJohn
55676,2017,William C. Pate,X
10404,2017,Brian E. Shore,X
47080,2017,Gary G. Rich,X
42920,2017,Thomas L. Williams,X
53555,2017,Todd M. Cleveland,X
47275,2017,"William Andrew Hendricks, Jr.",X
51420,2017,Daniel H. Schulman,Dan_Schulman
49118,2017,Glenn L. Kellow,X
54916,2017,Timothy J. Wilmott,X
45274,2017,John A. Brooks,X
50097,2017,Marvin R. Ellison,MarvinREllison
34964,2017,Joseph F. Coradino,X
58528,2017,David A. Spector,X
39384,2017,John P. Barnes,X
18812,2017,Indra K. Nooyi,IndraNooyi
34971,2017,Jeffrey S. Davis,X
53696,2017,George L. Holm,X
18883,2017,Robert F. Friel,X
31348,2017,Menderes Akdag,X
34985,2017,Charles T. Goodson,X
32234,2017,Ian C. Read,X
51756,2017,Jack Clifford Bendheim,X
37136,2017,Andr Calantzopoulos,X
46392,2017,Greg C. Garland,X
39324,2017,Peter S. Kirlin,X
59963,2017,Alasdair B. James,X
45406,2017,William W. Lovette,X
38655,2017,Michael Terry Turner,X
27518,2017,"Donald E. Brandt, CPA",X
43703,2017,Anthony M. Sanfilippo,X
35007,2017,William Stacy Locke,X
14675,2017,Timothy L. Dove,X
9093,2017,Andrew S. Duff,X
47092,2017,Marc B. Lautenbach,X
46177,2017,Joseph B. Burton,JoeBBurton
36965,2017,Scott W. Wine,X
37306,2017,Robert M. Patterson,X
19940,2017,Manuel J. Perez de la Mesa,X
43641,2017,"Ignacio Alvarez, Esq.",X
46608,2017,Robert V. Vitale,X
33003,2017,Michael J. Covey,X
53891,2017,Brett A. Cope,X
21876,2017,Balu Balakrishnan,X
23521,2017,Stephen F. Angel,X
33964,2017,"William J. Stromberg, CFA",X
46621,2017,Glenn Jackson Williams,X
39838,2017,Daniel Joseph Houston,X
35030,2017,"William Stancil Starnes, Esq., J.D.",X
51587,2017,David S. Taylor,X
54437,2017,Mark R. Baker,X
54830,2017,Yogesh Gupta,yogeshgupta1
37026,2017,Susan Patricia Griffith,X
45583,2017,Hamid R. Moghadam,X
59392,2017,Dale Redman,X
30227,2017,David E. Zalman,X
23994,2017,Richard Joseph Bielen,X
52397,2017,Victoria M. Holt,VickiMHolt
53340,2017,James M. Lindstrom,X
43189,2017,Christopher P. Martin,X
24119,2017,"John Robert Strangfeld, Jr.",John_Strangfeld
29526,2017,Ralph Izzo,X
27509,2017,"Ronald L. Havner, Jr.",X
37747,2017,"Randall Todd Jones, Sr.",X
35503,2017,Kimberly J. Harris,X
50593,2017,Ryan R. Marshall,X
24594,2017,Michael F. Barry,X
44024,2017,Charles B. Stanley,X
38760,2017,Steven M. Mollenkopf,stevemollenkopf
54869,2017,Mark S. Ordan,X
52092,2017,Philippe F. Courtot,pcourtot
48281,2017,William C. Griffiths,X
45671,2017,"Earl C. Austin, Jr.",X
47341,2017,Stephen H. Rusckowski,X
46286,2017,Douglas Valenti,"dougquinstreet, dvalentiquinstr, dougvquinstreet"
53245,2017,Thomas D. Miller,X
18430,2017,Jonathan Edward Michael,X
59275,2017,Richard G. Thornberry,X
33045,2017,Brian J. Bronson,BronsonRadisys
46884,2017,Ronald D. Black,X
60412,2017,Patrice Jean Louis Louvet,patrice_louvet
55232,2017,Dennis E. Gershenson,X
35381,2017,Jeffrey L. Ventura,X
53571,2017,Daniel A. Rykhus,X
43080,2017,Paul Christopher Reilly,X
50528,2017,David L. Nunes,X
49628,2017,Paul G. Boynton,X
48792,2017,Thomas A. Kennedy,X
52168,2017,David L. Liniger,DaveLiniger
43920,2017,John P. Case,X
47411,2017,Denny Marie Post,DPosted
30519,2017,Mark J. Gliebe,X
29781,2017,"Martin E. Stein, Jr.",X
7995,2017,Leonard S. Schleifer,RegeneronLen
47847,2017,Daniel J. Hanrahan,X
60398,2017,Kenneth T. Mills,X
34837,2017,"O. B. Grayson Hall, Jr.",X
52801,2017,"Anna Manning, FSA, FCIA",X
15655,2017,Gregg J. Mollins,X
60319,2017,Daniel J. Oh,X
50641,2017,Anthony J. Hunt,X
36115,2017,Mark E. Speese,X
37225,2017,Donald W. Slager,X
47964,2017,"Michael J. Farrell, BE, SM, MBA",ResMedMick
45817,2017,Daniel S. Schwartz,X
49428,2017,Stuart A. Tanz,X
49764,2017,Thomas C. Stabley,tomstabley
51309,2017,Zafar A. Rizvi,X
58485,2017,Kelly W. Hoffman,X
22492,2017,John T. Standley,X
60439,2017,Curtis W. Stoelting,curt_stoelting
11782,2017,"Harold Max Messmer, Jr.",X
48142,2017,Blake D. Moret,BlakeDMoret
33840,2017,Robert K. Ortberg,rkortberg
45303,2017,Bruce D. Hoechner,X
3817,2017,Gary W. Rollins,X
30933,2017,Barbara Rentler,BarbaraRentler
46108,2017,Tony Alan Jensen,X
60436,2017,Timothy E. Brog,X
33230,2017,Michael P. Plisinski,X
38672,2017,Michael P. O'Donnell,X
34242,2017,Robert E. Sanchez,X
46695,2017,Edward J. Lehner,EddieLehner
36592,2017,Todd D. Brice,ToddBrice_
48434,2017,Douglas L. Peterson,X
55769,2017,Jeffrey A. Stoops,X
10417,2017,"Alfred P. West, Jr.",alfred_west
39676,2017,Marc Holliday,X
51103,2017,Raymond J. Quinlan,X
42342,2017,Javan D. Ottoson,X
52479,2017,"Eugene Joseph Lowe, III",X
53844,2017,Archie C. Black,rchieBlackSPS
54840,2017,Marcus G. Michael,X
51939,2017,Lynn Alan Peterson,X
43244,2017,Robert S. Yorgensen,X
27067,2017,Gregory W. Becker,X
48015,2017,"Winston Lee Black, III",X
46287,2017,Richard K. Matros,X
54781,2017,Sean E. Menke,X
33187,2017,Stephen T. Zarrilli,sz135
42447,2017,"George Michael Murphy, CPCU",X
48025,2017,Richard D. O'Dell,X
37655,2017,Marc R. Benioff,Benioff
36410,2017,"Joe F. Sanderson, Jr.",X
54849,2017,Jeffrey T. Sanfilippo,X
8663,2017,Jure Sola,X
52678,2017,Scott E. Powell,X
43139,2017,"Bernard Francis Saul, II",X
14472,2017,Kevin B. Marsh,X
36414,2017,Michael L. Baur,scanman57
23085,2017,Stanley M. Bergman,X
39157,2017,Paal Kibsgaard,PaalKibsgaard ?
49694,2017,Joseph M. Yorio,X
36507,2017,Joseph M. Gingo,X
30592,2017,"Walter William Bettinger, II",WaltBettinger
60165,2017,Jeffrey Kramer,X
47904,2017,Anthony J. Moraco,X
55210,2017,Kevin M. Sheehan,kevinsheehan_sg
11735,2017,James S. Hagedorn,OldCrowP51
20955,2017,Richard A. Boehne,RichBoehne
37046,2017,Kenneth W. Lowe,X
57734,2017,"Dennis S. Hudson, III",denny_hudson
17501,2017,Charles L. Fabrikant,X
47102,2017,Jerome A. Peribere,JeromePeribere
47031,2017,Edward Scott Lampert,X
29110,2017,Robert D. Monson,X
49954,2017,David S. Chernow,X
7762,2017,Gregory Edward Murphy,X
33382,2017,Mohan R. Maheswaran,X
9078,2017,Debra L. Reed,X
31561,2017,David J. Hegarty,X
45361,2017,Paul Manning,X
26088,2017,Thomas L. Ryan,X
52666,2017,"Thomas Ashford Broughton, III",X
53916,2017,Randall J. Garutti,randygarutti
21056,2017,John G. Morikis,X
15279,2017,Clifton E. Sifford,X
55114,2017,Christopher North,X
53515,2017,Jonathan Oringer,jonoringer
38680,2017,Thinh Q. Tran,X
44910,2017,Joseph John DePaolo,X
45718,2017,G. Tyson Tuttle,gttuttle
39648,2017,Anthony J. Allott,X
59979,2017,Sean C. Woolverton,X
48533,2017,"George A. Makris, Jr.",X
25360,2017,David E. Simon,X
36685,2017,James E. Meyer,X
43402,2017,John M. Duffey,X
31276,2017,Robert Greenberg,X
24897,2017,Liam K. Griffin,X
42418,2017,Shelly R. Ibach,X
31684,2017,Ajita G. Rajendra,X
35527,2017,"William W. Smith, Jr.",X
24970,2017,Nicholas T. Pinchuk,X
58765,2017,Brian J. Driscoll,X
55692,2017,Guy Sella,X
7967,2017,J. Clifford Hudson,X
36421,2017,B. Scott Smith,ScottSmithSonic
35358,2017,M. Jack Sanders,X
52649,2017,"Thomas S. Smith, Jr.",X
32759,2017,Michael J. Renna,MichaelRenna95
27703,2017,Thomas A. Fanning,ThomasAFanning
50285,2017,"Lee R. Gibson, III, CPA, CPA",X
19145,2017,Gary C. Kelly,gary_kelly
37823,2017,John P. Hester,X
45321,2017,William J. Way,X
50600,2017,Daryl M. Adams,X
33488,2017,David M. Staples,X
45991,2017,"Rajesh C. Shrotriya, M.D.",X
48239,2017,Andreas Rouv,X
44801,2017,Suzanne Sitherwood,sitherwood
38712,2017,Vincent D. Kelly,X
52158,2017,Amin N. Maredia,X
47332,2017,Michael L. Glazer,X
31563,2017,Kenneth T. McBride,KenM_Stampscom
48804,2017,Eric Philip Sills,X
49582,2017,David A. Dunbar,X
18636,2017,James M. Loree,X
10976,2017,Howard D. Schultz,HowardSchultz
43955,2017,Chad A. Carlson,X
30289,2017,"Joseph L. Hooley, Esq.",X
53710,2017,James R. Henderson,X
18198,2017,Mark D. Millett,X
27537,2017,D. Hunt Hawkins,X
36432,2017,"F. Quinn Stepan, Jr.",X
45629,2017,Charles A. Alutto,X
48247,2017,Jack L. Kopnisky,X
28719,2017,Matthew W. Morris,X
37912,2017,Ronald James Kruszewski,RonKruszewski
57975,2017,James M. Trimble,X
35047,2017,Karl McDonnell,Karl_McDonnell
45326,2017,Kevin A. Lobo,Kevinalobo
28495,2017,Christopher J. Killoy,X
50412,2017,Daniel P. Hansen,X
44938,2017,"Frederick A. Henderson, CPA",X
32154,2017,"William Henry Rogers, Jr.",X
43880,2017,David D. Dunlap,X
50605,2017,Donald J. Stebbins,X
51301,2017,Jack A. Khattar,X
53418,2017,Mark Gross,X
44888,2017,Gary R. Maharaj,Garyhxvug
24014,2017,Charles E. Sykes,SYKESCEO
46377,2017,Richard A. Bergman,RickBergmanSyna
13604,2017,Aart J. de Geus,aartdegeus
44114,2017,"Kessel D. Stelling, Jr.",KesselStelling
36901,2017,Kevin Masazo Murai,X
50365,2017,Stephen C. Gray,X
51767,2017,Margaret M. Keane,SYFMKeane
54802,2017,Alistair MacDonald,X
35885,2017,"William J. DeLaney, III",X
32570,2017,Craig R. Dahl,X
53965,2017,Timothy D. Hockey,TimHockey
34263,2017,Ernie L. Herrman,X
51542,2017,Douglas F. Bauer,X
48623,2017,Thomas T. Edman,X
59282,2017,Calvin H. Knowlton,CalvinKnowlton
56186,2017,Gerald R. Mattys,uprmgmt
31311,2017,Douglas S. Ewert,X
35062,2017,Steven B. Tanger,X
48016,2017,Victor Luis,X
51063,2017,Brian C. Cornell,X
43131,2017,Robert S. Taubman,X
53424,2017,Ted W. Owen,X
37074,2017,David T. Lougee,DTLougee
19191,2017,Robert Mehrabian,X
45340,2017,Benson F. Smith,X
4008,2017,"LeRoy T. Carlson, Jr.",X
53030,2017,Scott L. Thompson,X
10390,2017,Trevor Fetter,X
44437,2017,H. Chris Killingstad,X
52586,2017,Brian J. Kesseler,X
54550,2017,Victor Lynn Lund,VicLLund
31023,2017,Mark E. Jagiela,X
52539,2017,"John L. Garrison, Jr.",X
30585,2017,Stuart M. Brightman,X
28313,2017,Dan L. Batrack,X
43197,2017,C. Keith Cargill,X
13869,2017,Richard K. Templeton,X
36459,2017,Wayne Kent Taylor,X
37007,2017,Scott C. Donnelly,X
25371,2017,Marc N. Casper,X
46465,2017,Robert W. Martin,X
54754,2017,Vyomesh I. Joshi,X
34129,2017,Inge G. Thulin,X
33427,2017,Jeffrey M. Platt,X
4379,2017,Michael J. Kowalski,X
53619,2017,Robert A. Rucker,X
25219,2017,Jeffrey L. Bewkes,X
46769,2017,Richard G. Kyle,X
49624,2017,"Ward J. Timken, Jr.",X
43895,2017,Paul George Reitz,X
38671,2017,Thomas Carson,X
52753,2017,Donato J. Tramuto,DonatoTramuto
43428,2017,"Douglas C. Yearley, Jr.",X
36583,2017,Stephen S. Romaine,X
20780,2017,Ellen R. Gordon,X
51407,2017,Gerald Volas,X
30225,2017,Larry Mac Hutchison,X
54185,2017,Richard M. Olson,X
11947,2017,M. Troy Woods,X
37345,2017,Gregory A. Sandfort,X
53469,2017,Walter Nicholas Howley,X
34273,2017,Alan David Schnitzer,TRVSchnitz
7619,2017,John D. Gottwald,X
36462,2017,Sam K. Reed,X
52262,2017,James E. Cline,X
58946,2017,Peter Maxwell Kern,X
19580,2017,Steven W. Berglund,X
4036,2017,Timothy R. Wallace,X
53450,2017,Daniel J. Crowley,X
46081,2017,Stephen Kaufer,kaufer
24352,2017,Steven C. Cooper,X
22237,2017,Robert Joseph McCormick,X
42502,2017,Gerard R. Host,X
38702,2017,Kenneth D. Tuchman,Gronsdorfer
53593,2017,Steven Robert Becker,X
10790,2017,E. V. Goings,RickGoingsTUP
36577,2017,James Rupert Murdoch,jamesmurdoch83
60377,2017,Jack Dorsey,jack
36270,2017,"Vincent D. Mattera, Jr.",X
35151,2017,"John S. Marr, Jr.",X
53892,2017,Thomas P. Hayes,Tom_Hayes
25526,2017,Thomas W. Toomey,X
30103,2017,"John Lawrence Walsh, Jr.",X
28421,2017,Andrew J. Cecere,X
32598,2017,Kevin G. Guest,USANA_Kevin
52592,2017,Jennifer F. Scanlon,X
51850,2017,William J. Sandbrook,X
51785,2017,Christopher J. Reading,X
48668,2017,Bryan A. Shinn,X
53090,2017,Mary N. Dillon,MaryNDillon
49692,2017,Scott Scherr,X
56459,2017,James P. Scholhamer,X
43530,2017,Cort Lane OHaver,X
36122,2017,Kevin A. Plank,X
55597,2017,Kevin Duane Hall,X
33807,2017,Ronald D. Croatti,X
45354,2017,Lance M. Fritz,X
