CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
38486,2017,"George G. Gleason, II",X
14209,2017,Gerald Lee Hassell,X
46525,2017,Mark J. Grescovich,X
32981,2017,Patrick J. Dempsey,X
38820,2017,"Kelvin P. M. Dushnisky, B.Sc. (Hon.), J.D., M.Sc.,",X
34391,2017,Thomas Monroe Patterson,X
8802,2017,"Robert H. Spilman, Jr.",X
52422,2017,Jos E. Almeida,X
35249,2017,Allan P. Merrill,X
20679,2017,Vincent A. Forlenza,X
13067,2017,Steven H. Temares,X
20622,2017,Daniel Bernstein,X
30983,2017,John S. Stroup,X
28660,2017,William F. Austen,X
54808,2017,Paul J. Tufano,X
29129,2017,"William Robert Berkley, Jr.",X
4699,2017,Warren E. Buffett,WarrenBuffett
60429,2017,Michael P. Daly,X
12363,2017,Gregory Edward Abel,X
34398,2017,Steven G. Miller,X
48838,2017,David J. Campisi,X
37490,2017,Sardar Biglari,X
17343,2017,Norman D. Schwartz,X
55292,2017,Michel Vounatsos,X
53829,2017,Joseph H. Capper,X
47883,2017,Charles R. Kummeth,X
54369,2017,John G. Cox,X
52736,2017,"Harold C. Flynn, Jr.",X
47615,2017,Gregory A. Trojan,X
24173,2017,David R. Emery,X
50392,2017,Thomas J. Sanzone,X
51248,2017,Michael P. Gianoni,mikegianoni
28691,2017,Laurence Douglas Fink,X
55016,2017,John S. Clendening,X
45065,2017,Dennis A. Muilenburg,BoeingCEO
50187,2017,Thomas Kevin Corrick,X
60326,2017,R. Seth Bullock,X
46021,2017,Glenn D. Fogel,X
45566,2017,James R. Verrier,X
36165,2017,Martin F. Roper,X
44190,2017,Clayton G. Deutsch,X
49045,2017,Owen David Thomas,X
45532,2017,Michael F. Mahoney,X
43176,2017,Robert A. Eberle,X
26600,2017,Keith E. Smith,X
51556,2017,J. Michael Nauman,X
29880,2017,Todd J. Teske,X
31758,2017,David H. Lissy,X
58090,2017,Eric Thomas Steigerwalt,X
42909,2017,Wyman T. Roberts,X
54357,2017,Douglas Allen Pertz,X
48343,2017,Giovanni Caforio,X
44413,2017,Jonathan E. Baliff,X
36048,2017,Richard J. Daly,X
49437,2017,Hock E. Tan,X
20562,2017,Pehong Chen,PehongChen
39701,2017,Paul A. Perrault,X
37772,2017,J. Powell Brown,X
38844,2017,Mark D. Schwabero,X
36171,2017,Dennis H. Nelson,X
55319,2017,Stephen D. Lebovitz,SDLebovitz
29214,2017,"Leslie Moonves, II",X
45013,2017,Edward T. Tilly,X
32481,2017,Robert E. Sulentic,X
53656,2017,Brian Patrick MacDonald,X
44866,2017,Thomas E. Richards,X
42136,2017,W. Anthony Will,X
19062,2017,John P. Wiehoff,X
30516,2017,David Michael Cordani,X
53022,2017,Ellen R. Alemany,X
34042,2017,Terrence A. Duffy,X
50480,2017,Patricia Kessler Poppe,X
50178,2017,Thomas Leverton,X
54059,2017,Dino Ennio Robusto,X
34519,2017,Edward John Bonach,X
42383,2017,Bret C. Griess,X
59865,2017,"E. Hunter Harrison, LL.D.",X
48692,2017,Kieran M. O'Sullivan,X
31468,2017,Nicholas J. DeIuliis,X
45477,2017,Christopher D. Myers,X
13052,2017,Larry J. Merlo,X
48087,2017,Donald Jeffrey Gawick,X
51401,2017,Julia M. Laulis,X
38852,2017,Sean D. Keohane,X
23837,2017,Dan O. Dinges,X
49936,2017,David H. Li,X
47785,2017,Kenneth Asbury,X
37395,2017,Lip-Bu Tan,X
52698,2017,Mark P. Frissora,X
47790,2017,Michael J. Burdiek,X
38502,2017,Lecil E. Cole,X
29266,2017,Diane M. Sullivan,X
49898,2017,Todd A. Stevens,X
51977,2017,Martin A. Kropelnicki,X
47229,2017,"Oliver G. Brewer, III",X
55620,2017,"Joseph C. Gatto, Jr.",X
37272,2017,"John B. Hill, III",X
10532,2017,Steven M. Klosk,X
34445,2017,Richard J. Campo,X
35888,2017,Denise Mullen Morrison,X
48111,2017,Jorgen B. Hansen,X
39924,2017,J. Kevin Gilligan,X
14064,2017,Richard D. Fairbank,X
47871,2017,Phillip A. Reinsch,X
32705,2017,Gary A. Kolstad,X
35861,2017,George S. Barrett,X
52907,2017,Todd S. Nelson,X
49475,2017,"Gregory K. Stapley, J.D.",X
36904,2017,D. Christian Koch,X
47620,2017,William D. Nash,X
48503,2017,Arnold W. Donald,X
47793,2017,Tony R. Thene,X
46546,2017,"Sylvester P. Johnson, IV, IV",X
55498,2017,T. Alex Vetter,X
39877,2017,Michael D. Casey,X
51979,2017,Steven W. Scheinkman,X
51367,2017,John R. Chiminski,X
48694,2017,"D. James Umpleby, III",X
48919,2017,Pin Tai,X
5773,2017,John P. Derham Cato,X
53153,2017,Joseph H. Stegmayer,X
45930,2017,Bruce J. Schanzer,X
47551,2017,Mark J. Alles,X
36182,2017,Michael Frederic Neidorff,X
50050,2017,Scott M. Prochazka,X
53925,2017,George C. Roeth,X
43455,2017,Anli Ngo,X
33256,2017,Michael A. Bless,X
2865,2017,"Glen F. Post, III",X
7197,2017,Clifford W. Illig,X
43180,2017,Gideon Wertheizer,X
24168,2017,James C. Foster,X
54858,2017,William C. Johnson,X
53755,2017,Thomas M. Rutledge,X
55530,2017,Jeffrey H. Fisher,X
8496,2017,David M. Overton,X
5797,2017,Kevin J. McNamara,X
57636,2017,David T. Provost,X
51387,2017,Mark P. Vergnano,X
49342,2017,Robert Douglas Lawler,X
49511,2017,James L. Francis,X
23862,2017,John S. Watson,X
53446,2017,Shelley G. Broader,broaderview
42622,2017,Jane T. Elfers,X
36060,2017,M. Steven Ells,X
45955,2017,Joel N. Waller,X
32925,2017,Matthew Thomas Farrell,X
53499,2017,William C. Carstanjen,X
53398,2017,Steven J. Hislop,X
18307,2017,Gary B. Smith,X
28862,2017,Thomas E. Jorden,X
48699,2017,Leigh R. Fox,X
37114,2017,"Steven Justus Johnston, FCAS, MAAA, CFA, CERA",X
53072,2017,Mark Zoradi,X
48612,2017,Scott A. Buckhout,X
35424,2017,Jason P. Rhode,X
47917,2017,Charles H. Robbins,ChuckRobbins
43293,2017,Michael L. Corbat,X
52186,2017,Bruce W. Van Saun,X
55348,2017,Kirill Tatarinov,KirillTatarinov
38521,2017,Charles R. Hageboeck,X
49477,2017,Bradley J. Dodson,X
55179,2017,Ronald Marshall,X
39358,2017,Alan S. McKim,X
37542,2017,Linda K. Massman,X
50472,2017,C. Lourenco Goncalves,X
49535,2017,Benno O. Dorer,X
45004,2017,Colin Marshall,X
5807,2017,"J. Frank Harrison, III",X
51984,2017,James Robert B. Quincey,X
27580,2017,Mitchell J. Krebs,X
52301,2017,David Schaeffer,X
36987,2017,Robert J. Willett,X
27658,2017,Francisco D'Souza,X
13762,2017,John R. Ambroseo,X
45096,2017,Luis A. Mller,X
23709,2017,Ian M. Cook,X
50244,2017,Hadley S. Robbins,X
38529,2017,Brian E. Lane,X
581,2017,Brian L. Roberts,X
9504,2017,"Ralph W. Babb, Jr.",X
10850,2017,David W. Kemper,X
43049,2017,Joseph Alvarado,X
36189,2017,Mark E. Tryniski,X
33059,2017,Wayne T. Smith,X
56154,2017,Timothy G. Wallace,X
49155,2017,Francis J. Malecha,X
39860,2017,"John Boyd Douglas, Jr.",X
25792,2017,Arthur W. Crumlish,X
40022,2017,Gian M. Fulgoni,gfulgoni
36064,2017,Miles Jay Allison,X
29859,2017,Fred Kornberg,X
52325,2017,Timothy A. Leach,X
50657,2017,Curt R. Hartman,X
56231,2017,James A. Brock,X
49744,2017,"C. Robert Udell, Jr.",X
48704,2017,John J. McAvoy,X
13122,2017,"Robert S. Sands, II",X
48910,2017,Allan D. Keel,X
55647,2017,Martin Plaehn,X
39716,2017,Andrea J. Ayers,X
13891,2017,Robert S. Weiss,X
53781,2017,Jeffrey S. Edwards,X
38895,2017,Bradley E. Hughes,X
17883,2017,A. Jayson Adair,X
56331,2017,Joseph K. Belanoff,X
51665,2017,Thomas B. Perkins,X
55147,2017,Paul E. Szurek,X
45925,2017,Frank D. Martell,X
41861,2017,Damon T. Hininger,DamonHininger
18372,2017,Wendell P. Weeks,X
45523,2017,Stephen E. Budorick,X
39446,2017,"Victor Gordon Clemons, Sr.",golf02022002
28254,2017,W. Craig Jelinek,X
53598,2017,Camillo Pane,X
34576,2017,"Lawrence L. Gellerstedt, III",X
38378,2017,Sandra Brophy Cochran,X
28540,2017,Max H. Mitchell,X
52222,2017,Peter J. Ungaro,PeterUngaro1
18560,2017,Charles M. Swoboda,X
50972,2017,Andrew Rees,X
49123,2017,William J. Grubbs,CEOCrossCountry
44993,2017,Jay A. Brown,X
34524,2017,Timothy J. Donahue,X
50742,2017,James Patrick MacKin,X
48114,2017,Bradley H. Feldmann,X
5864,2017,Phillip D. Green,X
23443,2017,N. Thomas Linebarger,X
32781,2017,David C. Adams,X
53376,2017,Jay S. Sidhu,X
60228,2017,James A. Reinstein,JAReinstein
52613,2017,Hassane El-Khoury,HassaneElkhoury
55387,2017,Robert I. Blum,X
54256,2017,Gary J. Wojtaszek,X
53065,2017,Philip L. Hawkins,X
57930,2017,David R. Lukes,X
49910,2017,David V. Auld,X
46268,2017,Michael P. Durney,MikeDurney1
38903,2017,Stephen C. Hooley,X
42357,2017,Ofer Elyakim,X
14261,2017,Gerard M. Anderson,X
