name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
boustridge,'503233766,51131,2015,Michael J. Boustridge,106,32,en,2012/2/25 16:33,,FALSE
Gavisaacs,'282780769,51084,2016,Michael Gavin Isaacs,346,57,en,2011/4/15 22:34,Las Vegas,FALSE
HusebyMichael,'2932155603,46223,2014,Michael P. Huseby,11,100,en,2014/12/19 15:52,"Mill Neck, NY",FALSE
MillardDrexler,'871947244232159232,36093,2016,Millard S. Drexler,6,14,en,2017/6/6 04:29,Roaming The World,FALSE
mindygrossman,'1513126424,38626,2016,Mindy F. Grossman,2497,86,en,2013/6/13 11:26,New York,TRUE
mitchrudin,'1898072125,53263,2016,Mitchell E. Rudin,145,161,en,2013/9/23 18:21,,FALSE
montyfmoran,'1061394141400236034,36061,2015,Montgomery F. Moran,6,6,en,2018/11/10 23:04,"Boulder, CO",FALSE
muhtarkent,'719804115,32193,2016,Muhtar Kent,51,27,tr,2013/10/17 22:32,ABD,FALSE
MurrayKessler,'339580494,44007,2014,Murray S. Kessler,376,20,en,2011/7/21 10:00,,FALSE
ullmanme,'126896821,29215,2015,"Myron E. Ullman, III",146,18,en,2010/3/27 10:11,,FALSE
NarenGursahaney,'948978631,46347,2015,Naren K. Gursahaney,458,184,und,2012/11/15 03:23,,FALSE
NoraDenzel,'3226651951,53301,2015,Nora M. Denzel,1359,39,en,2015/5/25 23:10,"Palo Alto, CA",TRUE
MedtronicCEO,'316702759,46174,2016,Omar S. Ishrak,22804,162,en,2011/6/13 20:58,"Minneapolis, Minnesota, USA",FALSE
PetePetitGroup,'1259705654,51487,2016,Parker H. Petit,119,2,en,2013/3/11 15:18,"Marietta, GA",FALSE
QuestFusion,'2997491528,44673,2014,Patrick C. Henry,31122,24341,en,2015/1/26 21:17,"San Diego, CA, USA",FALSE
PaulJDiaz1,'589558319,28958,2014,Paul J. Diaz,0,0,en,2012/5/25 00:54,,FALSE
PaulDykstra14,'284362948,36484,2014,Paul B. Dykstra,19,49,en,2011/4/19 04:28,"Phoenix, Arizona",FALSE
Paulmarciano9,'1089407071404068864,36077,2014,Paul Marciano,12,1,en,2019/1/27 06:17,"Los Angeles, CA",FALSE
PaulHooperCEO,'401091070,54724,2016,Paul A. Hooper,95,89,und,2011/10/30 01:36,"Santa Clara, CA",FALSE
PaulBisaro,'1668464336,35646,2014,Paul M. Bisaro,60,67,und,2013/8/13 18:20,,FALSE
PAltabef,'553985573,47825,2014,Peter A. Altabef,85,32,en,2012/4/15 01:56,,FALSE
RameshOoyala,'4709406133,39275,2014,Ramesh Srinivasan,57,38,en,2016/1/4 15:55,,FALSE
