name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
PaalKibsgaard ?,'721544786822373376,39157,2017,Paal Kibsgaard,1,217,en,2016/4/17 03:44,,FALSE
WaltBettinger,'160627505,30592,2017,"Walter William Bettinger, II",5674,249,en,2010/6/28 18:19,"San Francisco, CA",TRUE
OldCrowP51,'913385868592861184,11735,2017,James S. Hagedorn,13,27,en,2017/9/28 12:52,"Stuart, FL",FALSE
RichBoehne,'563760605,20955,2017,Richard A. Boehne,259,16,en,2012/4/26 14:21,Kentucky ,FALSE
denny_hudson,'1358378696,57734,2017,"Dennis S. Hudson, III",50,22,en,2013/4/17 02:33,,FALSE
randygarutti,'290843219,53916,2017,Randall J. Garutti,3685,405,en,2011/5/1 01:29,"NEW YORK, NY",TRUE
jonoringer,'23890475,53515,2017,Jonathan Oringer,26629,1896,en,2009/3/12 04:00,New York City,TRUE
gttuttle,'20944548,45718,2017,G. Tyson Tuttle,306,101,en,2009/2/15 22:50,"Austin, TX",FALSE
ScottSmithSonic,'428414214,36421,2017,B. Scott Smith,731,365,en,2011/12/4 18:47,Charlotte,FALSE
MichaelRenna95,'784442336961069060,32759,2017,Michael J. Renna,61,350,en,2016/10/7 17:16,"Mount Laurel, NJ",FALSE
ThomasAFanning,'716008348697698305,27703,2017,Thomas A. Fanning,1620,175,en,2016/4/1 21:04,"Atlanta, GA",FALSE
gary_kelly,'3128022438,19145,2017,Gary C. Kelly,7416,1,en,2015/4/1 21:35,"Dallas, TX",TRUE
HowardSchultz,'807442387,10976,2017,Howard D. Schultz,101826,196,en,2012/9/6 19:18,"Seattle, WA",TRUE
RonKruszewski,'416390629,37912,2017,Ronald James Kruszewski,36,26,en,2011/11/19 16:32,"St Louis, MO",FALSE
Karl_McDonnell,'249441251,35047,2017,Karl McDonnell,10339,1951,en,2011/2/9 01:51,"Washington, DC",TRUE
SYFMKeane,'3274870219,51767,2017,Margaret M. Keane,1581,206,en,2015/7/10 19:34,,TRUE
TimHockey,'24425930,53965,2017,Timothy D. Hockey,9178,1153,en,2009/3/14 20:38,,TRUE
CalvinKnowlton,'720071376,59282,2017,Calvin H. Knowlton,49,12,en,2012/7/27 12:32,,FALSE
uprmgmt,'84160938,56186,2017,Gerald R. Mattys,3,2,en,2009/10/21 20:56,minneapolis,FALSE
DTLougee,'576408469,37074,2017,David T. Lougee,989,418,en,2012/5/10 17:15,,FALSE
VicLLund,'735193182921740288,54550,2017,Victor Lynn Lund,1071,18,en,2016/5/24 19:38,"Salt Lake City, UT",FALSE
DonatoTramuto,'2228584789,52753,2017,Donato J. Tramuto,1345,161,en,2013/12/3 17:10,Nashville,TRUE
TRVSchnitz,'2752242290,34273,2017,Alan David Schnitzer,16,14,en,2014/8/21 14:16,,FALSE
kaufer,'21892507,46081,2017,Stephen Kaufer,6825,305,en,2009/2/25 17:42,"Newton, MA",FALSE
RickGoingsTUP,'3665601617,10790,2017,E. V. Goings,1906,0,en,2015/9/15 16:22,"Orlando, FL",TRUE
jamesmurdoch83,'584272498,36577,2017,James Rupert Murdoch,488,1529,und,2012/5/18 23:57,"Bulverde, TX",FALSE
jack,'12,60377,2017,Jack Dorsey,4185345,3905,und,2006/3/21 20:50,,TRUE
Tom_Hayes,'2800158652,53892,2017,Thomas P. Hayes,3724,212,en,2014/10/2 14:40,"New Hampshire, USA",TRUE
USANA_Kevin,'381742923,32598,2017,Kevin G. Guest,1116,85,en,2011/9/28 21:21,,FALSE
PAltabef,'553985573,51968,2017,Peter A. Altabef,85,32,en,2012/4/15 01:56,,FALSE
Skybiome,'2704459736,37941,2017,Martine A. Rothblatt,748,168,en,2014/8/3 16:26,I95,FALSE
mmissad1,'2385889136,27078,2017,"Matthew Jon Missad, CPA",8,12,en,2014/3/12 22:23,,FALSE
UnumRick,'819741280192303105,42292,2017,Richard Paul McKenney,324,49,en,2017/1/13 03:02,"Chattanooga, TN",FALSE
SunnySanyal,'1958781902,54363,2017,Sunny S. Sanyal,28,24,und,2013/10/13 14:17,,FALSE
PaulGalant,'2162798647,48646,2017,Paul S. Galant,1193,535,en,2013/10/29 12:52,"San Jose, CA",FALSE
sgsyes0619,'1665513860,51685,2017,Scott G. Stephenson,5,19,en,2013/8/12 16:47,,FALSE
LearningMoment,'103626107,9198,2017,Garry O. Ridge,1494,377,en,2010/1/10 17:58,"San Diego, CA",FALSE
jimfishwm,'888130007029104641,47170,2017,"James C. Fish, Jr.",6663,31,en,2017/7/20 20:14,,FALSE
mindygrossman,'1513126424,59618,2017,Mindy F. Grossman,2497,86,en,2013/6/13 11:26,New York,TRUE
toddpenegor33,'451696596,48706,2017,Todd Allan Penegor,12,7,en,2011/12/31 21:50,,FALSE
Derek_Leathers,'2902739274,28890,2017,Derek J. Leathers,1170,559,en,2014/11/17 13:31,"Omaha, NE",FALSE
WesternUnionCEO,'632124727,36009,2017,Hikmet Ersek,13926,260,en,2012/7/10 16:35,"Denver, CO",TRUE
nonamemarin,'84247044,24471,2017,Laura J. Alber,10,71,en,2009/10/22 05:16,,FALSE
TonyThomasWIN,'2817606480,40005,2017,Anthony W. Thomas,2033,291,en,2014/9/18 18:57,"Little Rock, AR",FALSE
WingstopCEO,'838521102,53922,2017,Charles R. Morrison,3025,209,en,2012/9/21 20:36,,FALSE
kazzy13a,'99266673,29803,2017,Michael J. Kasbar,2,7,en,2009/12/25 11:17,,FALSE
VinceMcMahon,'1222639789,51870,2017,Vincent K. McMahon,2255297,51,en,2013/2/26 18:06,"Greenwich, Conn.",TRUE
stevewynnfacts,'2990285665,37104,2017,Stephen A. Wynn,222,12,en,2015/1/19 19:26,"Las Vegas, Wynnvada",FALSE
msteib,'21576338,49101,2017,Michael F. Steib,4203,901,en,2009/2/22 16:35,"New York, NY",TRUE
PatrickKDecker,'2697201733,50421,2017,Patrick K. Decker,1873,429,en,2014/8/1 03:07,"Rye Brook, NY",FALSE
DWagnerPSU,'151078489,55243,2017,David J. Wagner,315,325,en,2010/6/2 15:07,"Dallas, Texas",FALSE
brentlsaunders,'3014302521,50744,2017,Brenton L. Saunders,9618,1123,en,2015/2/3 11:47,"Dublin, Ireland/ NJ, USA",TRUE
amolinaroli,'363889181,38449,2017,Alex A. Molinaroli,11747,300,en,2011/8/28 21:24,"Milwaukee, Wisconsin",TRUE
MitchBarns,'63727579,49062,2017,Dwight Mitchell Barns,1139,169,en,2009/8/7 14:01,"Westport, Connecticut USA",FALSE
JohnJamesHaley,'3294149243,55059,2017,John J. Haley,959,50,en,2015/5/22 15:44,,FALSE
LevinIlan,'1718599693,47961,2017,Ilan Levin,6,34,en,2013/9/1 10:19,,FALSE
richard00857062,'1044728951657181184,49916,2017,Richard D. Fain,41,183,en,2018/9/25 23:22,United States,FALSE
